id,abbreviation,alternative_name,category,checksum,created_at,generation,name,platform_family,platform_logo,slug,summary,updated_at,url,versions,websites
158,,Commodore Dynamic Total Vision,6,5d48648e-283c-e2df-df7d-6d3cbc7e0a58,1510012800,,Commodore CDTV,,292,commodore-cdtv,,1522972800,https://www.igdb.com/platforms/commodore-cdtv,[223],[26]
339,,Kids Computer Pico,1,6e867a5b-a071-fc7b-945b-a0622f64a4bc,1595808000,4,Sega Pico,3,,sega-pico,,1595808000,https://www.igdb.com/platforms/sega-pico,[456],
8,PS2,PS2,1,be3e025c-d4ed-b795-443c-a8cb55fbfe17,1297555200,6,PlayStation 2,1,254,ps2,,1414972800,https://www.igdb.com/platforms/ps2,"[58, 114]",
39,iOS,,4,fefe4a2b-7c90-0e89-e811-902ea1cf2b58,1317686400,,iOS,,248,ios,,1391644800,https://www.igdb.com/platforms/ios,[43],
94,C+4,,6,ea138789-6bbe-bcca-dff5-7e20e762f65a,1414195200,,Commodore Plus/4,,310,c-plus-4,,1468454400,https://www.igdb.com/platforms/c-plus-4,[108],
144,,,1,5438ffcf-1f05-47e9-e082-15bafd1dc92f,1505779200,,AY-3-8710,,,ay-3-8710,,1505779200,https://www.igdb.com/platforms/ay-3-8710,[207],
88,odyssey,Magnavox Odyssey; Odysee; Odisea; Odissea,1,26859452-7553-fa16-0833-3a62209ac679,1407542400,1,Odyssey,,,odyssey--1,,1591228800,https://www.igdb.com/platforms/odyssey--1,"[101, 167, 168, 169, 170, 171]",[211]
90,cpet,,6,2fa2cd86-55c7-cfa7-9569-e8f0422c8d0b,1407542400,,Commodore PET,,543,cpet,,1591228800,https://www.igdb.com/platforms/cpet,[103],[216]
237,,,6,c608e02f-1a92-d010-b161-4a368220bdfe,1573776000,,Sol-20,,,sol-20,,1591228800,https://www.igdb.com/platforms/sol-20,[354],[219]
6,PC,mswin,4,5aae54d0-390e-a4ec-a9ee-4ad4cc346992,1297555200,,PC (Microsoft Windows),,203,win,,1470009600,https://www.igdb.com/platforms/win,"[1, 13, 14, 15, 124]",[2]
44,zod,,5,7916e6bf-353a-6f27-a8de-a429204d17d9,1317686400,,Tapwave Zodiac,,46,zod,,1392076800,https://www.igdb.com/platforms/zod,[69],
68,colecovision,,1,85231b96-19bb-f7cb-608b-736c5120b70f,1372464000,2,ColecoVision,,311,colecovision,,1392076800,https://www.igdb.com/platforms/colecovision,[35],
